name,definition,type,group,examples,hashtags,origin,synonyms
А сегодня я покакал,"Предложение, показывающие безразличие к тому что сказал другой человек.",словосочетание ,"(Анонимы, тролли, хикки)","-Где можно обсудить проблемы кишечника?
-В /pokakal.

-Какая твоя любимый раздел нульчана?
-/pokakal. ",#Социальныесети ,"(происхождение второго значения) раздел был добавлен на Нульчан из-за того, чтобы люди не рассказывали об туалетном юморе и своих кишечных проблемах в /b, и писали это в /pokakal.",NonNone
А то,да — выражения подтверждения.,союз и частица,NonNone,— Ты знаешь такого чела...? — А то!!! ,#Общие ,NonNone,да.
Абаля,вот это конфуз!.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Абанамат,восклицание раздражения или удивления.,междометие,NonNone,"Абанамат!!! Холодильник сломался не вовремя.  •  Абанамат! — сказал кладовщик.  • Если что-то раздражало деда, он хмурил брови и низким голосом восклицал: - Абанамат! (Сергей Довлатов)  • Абанамат! Кошмар, у меня в авто накрылся бензонасос!  • Абанамат, Билайн, абанамат!  • Абанамат! Тока что обнаружил, что пролошил билет на Гришковца. ",#Общие ,NonNone,"Искажение, эвфемизм матероного выражения, из повести Сергей Довлатова «Наши»."
Абапер,программист на языке ABAP/4.,"-а, м. ","(айтишники
, прогеры)","У абаперов, как правило, все проекты — это костыли и твики того, что написали их немецкие друзья. Нет возможности развернуться, соответственно никаких архитекторов у них, в общем, нет.  • Абапер хорошо разбирается в функционировании системы.  • Вакансий для программистов для «АБАПеров» и «АДских программистов» не так много, как у их коллег в сфере Java и C++.  • Сейчас под моим началом команда косультантов по логистике, торо и несколько абаперов.  • Коллега абапер от нас ушел с 92 тыр на договор в одно предприятие SAP/ABAP на 290 тысяч что-ли. ",#Айтишники ,"от англ. ABAPer, имеющего ровно то же значение.",АБАПер
Абассака,коммент к смешному креатиффу.,"-и, ж. ",(каменты),NonNone,#Падонки ,NonNone,"абасцака, ицпадстол, ицпадстул, обоссака, пацталом, пацтулом, ржунимагу."
абгрейд,"АПГРЕ́ЙД
1.Модернизация компьютера, обновление его программ и т.",Мужской род спец. ,(IT),"А ты абгрейдил(апгрейдил) виндовс, до 10? ",#Айтишники #Интернет ,"Сфера IT, от EN слова upgrade.",АПГРЕ́ЙД.
абдул,Обзывание хачей.,сущ.м.р ,(хачи),Абдул хач. ,#Общие ,NonNone,хас.
абдул,Мужское кавказское имя.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
аберглау,Просто ляпнул - и забыл.,Существительное ,(По всюду),Тоже что и Аберглау. ,#Общие ,город Сальск.,АбайКалаУмаласаи.
Абзац,(предикатив) оценка ситуации как очень плохой.,"-а, м.",NonNone,"Главную антипремию «за худшее все в литературе» — «Полный абзац» — получила книга... • Полный абзац обычно наступает, а частичный только крадётся, вернее подкрадывается.  • Печка — это абзац какой-то, мотора за ней не слышно. • Но вот то, что Прарусским языком является не украинский, а беларусский —  это абзац! ",#Общие ,"эвфемизм, созвучие матному слову.","пипец, капец."
Абздольц,(предикатив) оценка ситуации как очень плохой.,NonNone,NonNone,И начался тут полный абздольц!  • Сессию перенесли - абздольц! (4) Музыкальный коллектив из Киева «Абздольц» готовит для своих почитателей две новые пластинки. ,#Общие ,NonNone,"(1), (2) пипец, ппц, каюк, капец,  вешалка, трындец, крышка, кранты (3) офигеть, охренеть."
