name,definition,type,group,examples,hashtags,story,synonims
У него подорван чердак,Он псих.,словосочетание,NonNone,"
У него подорван чердак
у тебя шапка горит
У него подорван чердак

",#Общие ,NonNone,NonNone
у тебя шапка горит,Эта блондинка красотка мне она нравится.,NonNone,NonNone,Мальчик проходит и говорит девочке у тебя гапка горит. ,#Общие ,NonNone,NonNone
Уазик,автомобиль-внедорожник «УАЗ-469».,"-а, м. ",(автолюбители),"Припаркованный УАЗик раздавила пожарная машина.  • Берем устройство и устанавливаем в «уазик».  • В отряде МЧС поселка Старая Майна есть и более новая техника, но старый уазик и сейчас на службе.  • Сегодня название «уазик» прочно срослось с понятием «русский джип», что вполне объяснимо.  • Водитель «Мерседеса-седана» водителю «Тойотты-Ланд Крузер»: Эй, на Уазике, отъезжай!  • УАЗики — последний писк гламура у японцев. ",#Автолюбители ,NonNone,NonNone
Уася,"искажение имени Вася (Василий); нередко используется как нарицательное для обозначения простака, недалекого, неумного человека.","-и, м.",NonNone,"Уася, сиги есть?   • Уася, кем ты там работал?  • Друзья зовут Уася. Живу в деревне Краснодар.  • Имя: Уася. Возраст: 16 лет.  • Уася, весь мир театр,а люди в нем актеры.  • Уася, какой это автомобиль стоит 104к?  • Если чел на моте — полный Уася, то нефиг ему на моте делать. Угробится сам, да еще и потянет кого то за собой.  • Я 20 раз винду переустанавливал, я же не совсем уася! ",#Общие ,NonNone,NonNone
Убей сибя апстену,"негативная оценка креатиффа , пожелание-проклятие обращенное к его аффтару.",NonNone,(каменты),NonNone,#Падонки ,NonNone,"выпей йаду , убей сибя тапкам, убейся веником, убейсибямаркерамфухо, укуси сибя гадюкай, убей сибя огнетушителем, убейсибя абугол,  убей сибя с расбегу апстену вымазанную йадом."
Убей сибя с расбегу,"негативная оценка креатиффа , пожелание-проклятие обращенное к его аффтару.",NonNone,(каменты),NonNone,#Падонки ,Искаж. убей себя с разбега.,"выпей йаду , убей сибя тапкам, убейся веником, убейсибямаркерамфухо, укуси сибя гадюкай, убей сибя огнетушителем, убейсибя абугол, убей сибя с расбегу апстену вымазанную йадом."
Убей сибя с расбегу апстену вымазанную йадом,"негативная оценка креатиффа , пожелание-проклятие обращенное к его аффтару.",NonNone,(каменты),NonNone,#Падонки ,"Искаж. убей себя с разбега об стену, вымазанную ядом.","выпей йаду , убей сибя тапкам, убейся веником, убейсибямаркерамфухо, укуси сибя гадюкай, убей сибя огнетушителем, убейсибя абугол,  убей сибя с расбегу."
Убейсибяапстену,см. убей сибя апстену.,NonNone,(каменты),NonNone,#Падонки ,NonNone,NonNone
убийца,"Человек, несущий добро в этот мир путем уничтожения недостойных.","сущ., разного рода ",(доброта),"Не убий, не укради.. (нет). ",#Общие ,NonNone,"Добродеятель, бог."
Убийца бабочек,"беспомощный и безвредный человек, по поводу и без доказывающий всем как он важен и крут; нередко в значении добрый, безобидный, но с негативной коннотацией.",NonNone,(обзывательство),"Я убийца бабочек, но вообще общительная и прикольная.  • Я ничего такого не задумал: я же убийца бабочек.  • Ты - серийный убийца бабочек! Ты - Чикатило по капустницам!  • Ну что лох печальный, убийца бабочек? ",#Общие ,NonNone,NonNone
Убило,Насмешил.,гл. ,(Комент),Последние просто убило... ,#Общие ,NonNone,Насмешил.
Убило в щи,"насмешило, восхитило, изумило.",в знач глаг. сов.,NonNone,"Меня то видео убило в щи.  • Американский спецназ против росейского совхоза - убило в щи!  • Только меня убило в щи тот факт что с боссов не падает ни одного оружия на дк-танка?  • Ха-ха облом троллям обновление новости убило в щи.  • фото про жопса убило в щи! Понимаю, что смеяться над фамилиями нельзя, но все же невтерпеж.  • Вот второе видео с тёткой убило в щи!!! ",#Общие ,NonNone,"смиялсо, пацталом, пацтулом, испацтул, испацтол, ржунимагу"
Убитые Еноты,"УЕ (условная единица оплаты) - доллар (иногда в подтексте x1000), реже евро и др.",единица измерения,NonNone,"Купил тачку, 25 убитых енотов отдал. ",#Общие   #,"От словосочетания «условные единицы», которое стали использовать в 90-е годы в прайс-листах и на ценниках после того, как правительство одной фимозной страны повелело своим холопам перестать обозначать цены в деньгах (не путать с рублями), в силу врождённого слабоумия полагая, что это как-то уменьшит инфляцию и можно будет продолжать печатать фальшивые, ничем не обеспеченные купюры. Когда нефть поднялась, инфляция несколько уменьшилась и надобность в УЕ отпала. А выражение осталось. Не забывайте его, ещё пригодится.",баксы.
Ублюдина,обозначает тоже самое что и ублюдок.,сущ. ж.р.,NonNone,"теперь будешь знать, как отрываются в Понивилле, Ублюдина! ",#Общие ,NonNone,ублюдок.
ублюдок,"недоразвитый, никчемный человек.","сущ., м.р",NonNone,Устаревший термин «ублюдок» в биологии в настоящее время полностью вытеснен словом «гибрид». ,#Общие #Интернет ,NonNone,"помесь, выродок, гибрид."
Ублюдок,Сын развратной женщины.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Уболтать,"уговорить, убедить.",сов. перех.,NonNone,"Как уболтать девушку на секс.  • Сегодня первый вице-премьер В.Семашко излучал оптимизм, убеждая страну, что за две недели уболтает (или возьмет измором) российских переговорщиков.  • Верх мастерства продаж: «уболтать» клиента.  • Или хотя бы уболтать аиста пролететь мимо дома.  • Третьяков обещает уболтать ренегатов. ",#Общие ,NonNone,NonNone
Убраться,упасть при выполнении трюка.,NonNone,"(велобайкеры, скейтеры, роллеры)","Вчера убрался с вела жоско. •  Это же надо было так убраться, что видавший виды подсидельный штырь таки не выдержал и сломался пополам. • На каждом трюке каждый убирается по несколько раз.  •  Вы имеете реальный шанс убраться копчиком или затылком или хребтом на асфальт. • А вот с высоты более метра вполне реально не хило убраться. • Разгон для первого скольжения лучше, как обычно, взять небольшой, что бы не убраться больно с первого раза. ",#Общие ,NonNone,NonNone
Убыстрение,"то же, что и ускорение.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Убыток,"глупый человек, неумелый, необразованный, растяпа.","ка, м. ",(обзывательство),"Ты, тупой убыток!  • Если ты не рубишь в компе, то ты убыток.  • Все замечают, что он убыток?  • Любой твой коментарий направлен на доказательство того, что ты убыток.  • Ты убыток и тебя в этой жизни никто никогда не уважал.  • Ты, убыток, русского языка не знаешь. • Он не неудачник, он убыток и это доказано. ",#Общие ,NonNone,"дебил, бокопор."
УВ,"уровень вложенности страницы, количество кликов  от главной страницы до текущей.",аббрев. ,(сеошники),NonNone,#Сео ,NonNone,NonNone
Уважиться,сделать что то хорошее и приятное для себя и кого то.,NonNone,NonNone,"Я классно потанцевала, уважилась! ",#Общие ,NonNone,NonNone
Уважуха,"выражение одобрения, уважения.","-и, ж.",NonNone,"Уважуха тебе, клёво ты сделал!  • Респект и уважуха.  • Почет, мля и уважуха.  • Напиши цитату - получи уважуху.  • ты супер фан и к тебе проявляют уважуху!!!  • Такие как ты только и надеются заработать уважухи у европейцов за антироссийщину. •  Спасибо за поздравление! Уважуха, всей компании! ",#Общие ,NonNone,респект.
Увася,"обозначение любого собеседника в разговоре, обращение к незнакомому человеку или группе людей.",местоимение и вводное слово,NonNone,"Эй,ты Увася подожди меня пожалуйста.  • Эй, Увася дверь мне запили.  • Забрался на парапет и орал народу типа: «Эээ увася.. сышишь... сюда иди а...»  • Один раз по шее, и прощай увася.  • Там где «наш» кавказец скажет: «Эй увася, ара ты чё?», черноземский скажет: «Шо це ты мне балакаешь».  •  Если ты не по теме, гуляй, увася.  • Читайте, увася, первоисточники и документы - они не врут, и делайте свои выводы.  • Увася, акое старье да ещё и китайское не разгоняют.  • Пыщ пыщ вашпе увася.  • А тут бац синий экран с надписями быстро мелькает и «усё, увася!».  • Ты, увася, кто по жизни?  • Увася, чо раслабились? ",#Общие ,NonNone,NonNone
УГ,Унылое Гавно.,"[УГЭ] сущ., ср. р ","(упячка, попячивание УГ.)",Кагбе попячим УГ воены1 И да. ,#Упячка ,Кагбе произошло от эмо и унылого юмора (так как это уныло и в тоже время являэ гавном).,Унылое Гавно.
Уг,"зло, всё плохое в мире; в понимании Воинов Упячки это в первую очередь уныние, скука, чрезмерно серьезное восприятие жизни, отсутствие юмора.",нескл. ,(упячка),"Магучий Чаке паражает силы УГ как бе взглядом.  • Леонид, Чаке и Онотоле спасут нас от уг.  • ИСтребитель УГ, Онотоле мой отейц. ",#Упячка ,Аббревиат унылое говно.,NonNone
Уг,"что-то, что не нравится.",нескл. ,"(упячка, инет, чаты, форумы)","Интернет ОГО - полное УГ.  • Картинка полное УГ.  • А, это УГ все еще в комментаторах... Позор ленты, я щитаю.  • Это УГ скоро пройдёт.  • на любое УГ найдутся свои мухи, если это УГ многократно прокрутить по ТВ. ",#Упячка ,Аббрев. «унылое говно».,УГ
УГ,"унылое говно —  то, с чем собственно и борется Упячка.",аббрев. ,(упячка),NonNone,#Упячка ,NonNone,NonNone
Угадай мелодию,"(вид игры) — в правилах нет ничего сложного: всем известные песни «зашифрованы» сухим прозаическим языком, задача — расшифровать.",NonNone,(ИИ),NonNone,#ЧГКшники ,NonNone,NonNone
Угадайка,"метод составления вопросов ЧГК , при котором команды некому застраховать на случай: «Играл, но не угадал ни одного ответа».","-и, ж. ","(ИИ, юмор)",NonNone,#Юмор ,NonNone,NonNone
Угадайка,"вопрос, где ответ приходится выбирать из нескольких практически равнозначных версий.","-и, ж. ","(ИИ, сленг)",NonNone,#Сленг ,NonNone,NonNone
Угадайка,"контрольный тест, в котором на каждый вопрос представлено несколько вариантов ответа.","-и, ж ",(студ.),"Итак, в угадайке двадцать вопросов, по пять вариантов ответа к каждому. Дерзайте. ",#Студенты ,NonNone,NonNone
Угар,что-то смешное.,"-а, м.",NonNone,"Вот это угар!!!  • Посмотрела «сырой» вариант сегодняшнего фильма музтевешного — ребята, какой угар!  • Это был такой угар, такой драйв!!! ",#Общие ,NonNone,"смешной, смешно."
Угарать,"смеяться жестоко, надсмехатья.",несов. неперех.,NonNone,"Смотреть всем угарать будете долго! — прикол, футбол.  •  Если пришёл я и начал угарать над всеми, это не значит, что надо теперь угарать надо мной.   • Сейчас не остаётся ничего другого, как развлекаться и угарать. ",#Общие ,NonNone,угорать
Угарно,смешно.,нареч.,NonNone,Мужик очень угарно пародирует знаменитостей. ,#Общие ,NonNone,NonNone
угарнуть,Сильно посмеяться.,глагол ,(неадекваты),Вот это я сегодня угарнул. ,#Общие ,NonNone,NonNone
Угарный,смешной.,прил.,NonNone,"Мульт, конешна угарный, но не для меня.... Не люблю.... Лучче саус парк пойду посмотрю... ",#Общие ,NonNone,"прикольный, укатный, улетный."
Угваздать,испачкать.,глагол,NonNone,Все кроссовки угваздал... ,#Общие ,NonNone,"замарать, заляпать."
